aeroportoPartenza;cittàPartenza;nazionePartenza;aeroportoArrivo;cittàArrivo;nazioneArrivo;compagniaAerea
"Knox County Regional Airport";Rockland;"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Rutland State Airport";Rutland;"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Luis Munoz Marin Intl";"San Juan";"Puerto Rico";"Cyril E King";"St. Thomas";"Virgin Islands";"Cape Air"
"Adirondack Regional Airport";"Saranac Lake";"United States";"General Edward Lawrence Logan Intl";Boston;"United States";"Cape Air"
"Henry E Rohlsen";"St. Croix Island";"Virgin Islands";"Cyril E King";"St. Thomas";"Virgin Islands";"Cape Air"
"JAGS McCartney International Airport";"Cockburn Town";"Turks and Caicos Islands";Providenciales;Providenciales;"Turks and Caicos Islands";"PB Air"
"Salt Cay Airport";"Salt Cay";"Turks and Caicos Islands";Providenciales;Providenciales;"Turks and Caicos Islands";"PB Air"
"Chisinau Intl";Chisinau;Moldova;Bologna;Bologna;Italy;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Domododevo;Moscow;Russia;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Dublin;Dublin;Ireland;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Fiumicino;Rome;Italy;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;"Frankfurt Main";Frankfurt;Germany;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Ataturk;Istanbul;Turkey;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;"Boryspil Intl";Kiev;Ukraine;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Larnaca;Larnaca;Cyprus;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Pulkovo;"St. Petersburg";Russia;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Barajas;Madrid;Spain;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Malpensa;Milano;Italy;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;"Henri Coanda";Bucharest;Romania;"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Stansted;London;"United Kingdom";"Air Moldova"
"Chisinau Intl";Chisinau;Moldova;Villafranca;Villafranca;Italy;"Air Moldova"
Larnaca;Larnaca;Cyprus;"Eleftherios Venizelos Intl";Athens;Greece;"Air Moldova"
Barajas;Madrid;Spain;Lisboa;Lisbon;Portugal;"Air Moldova"
Ahmedabad;Ahmedabad;India;Bangalore;Bangalore;India;"Jet Airways"
Ahmedabad;Ahmedabad;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Ahmedabad;Ahmedabad;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Amritsar;Amritsar;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";Hyderabad;Hyderabad;India;"Jet Airways"
"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Kuwait Intl";Kuwait;Kuwait;"Jet Airways"
"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Chennai Intl";Madras;India;"Jet Airways"
"Bahrain Intl";Bahrain;Bahrain;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Bhubaneshwar;Bhubaneswar;India;Bangalore;Bangalore;India;"Jet Airways"
Bhubaneshwar;Bhubaneswar;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Vadodara;Baroda;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Bhuj;Bhuj;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Bhopal;Bhopal;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Bhopal;Bhopal;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Bhavnagar;Bhaunagar;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Suvarnabhumi Intl";Bangkok;Thailand;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Suvarnabhumi Intl";Bangkok;Thailand;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Bangalore;Bangalore;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Bangalore;Bangalore;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Bangalore;Bangalore;India;Hyderabad;Hyderabad;India;"Jet Airways"
Bangalore;Bangalore;India;"Chennai Intl";Madras;India;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Bahrain Intl";Bahrain;Bahrain;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Suvarnabhumi Intl";Bangkok;Thailand;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;Bangalore;Bangalore;India;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Brussels Natl";Brussels;Belgium;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Bandaranaike Intl Colombo";Colombo;"Sri Lanka";"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Doha Intl";Doha;Qatar;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Dubai Intl";Dubai;"United Arab Emirates";"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Hong Kong Intl";"Hong Kong";"Hong Kong";"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;Hyderabad;Hyderabad;India;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"King Abdulaziz Intl";Jeddah;"Saudi Arabia";"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Johannesburg Intl";Johannesburg;"South Africa";"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Kuwait Intl";Kuwait;Kuwait;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;Heathrow;London;"United Kingdom";"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Chennai Intl";Madras;India;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Seeb Intl";Muscat;Oman;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Jomo Kenyatta International";Nairobi;Kenya;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Narita Intl";Tokyo;Japan;"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"King Khaled Intl";Riyadh;"Saudi Arabia";"Jet Airways"
"Chhatrapati Shivaji Intl";Mumbai;India;"Changi Intl";Singapore;Singapore;"Jet Airways"
"Brussels Natl";Brussels;Belgium;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Brussels Natl";Brussels;Belgium;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Brussels Natl";Brussels;Belgium;"Newark Liberty Intl";Newark;"United States";"Jet Airways"
"Brussels Natl";Brussels;Belgium;"Lester B Pearson Intl";Toronto;Canada;"Jet Airways"
Calicut;Calicut;India;"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Jet Airways"
Calicut;Calicut;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;"Suvarnabhumi Intl";Bangkok;Thailand;"Jet Airways"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;Bangalore;Bangalore;India;"Jet Airways"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Netaji Subhash Chandra Bose Intl";Kolkata;India;"Chennai Intl";Madras;India;"Jet Airways"
Coimbatore;Coimbatore;India;Bangalore;Bangalore;India;"Jet Airways"
Coimbatore;Coimbatore;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Coimbatore;Coimbatore;India;"Chennai Intl";Madras;India;"Jet Airways"
"Bandaranaike Intl Colombo";Colombo;"Sri Lanka";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Bandaranaike Intl Colombo";Colombo;"Sri Lanka";"Chennai Intl";Madras;India;"Jet Airways"
Cochin;Kochi;India;"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Jet Airways"
Cochin;Kochi;India;Bangalore;Bangalore;India;"Jet Airways"
Cochin;Kochi;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Cochin;Kochi;India;"Doha Intl";Doha;Qatar;"Jet Airways"
Cochin;Kochi;India;"Chennai Intl";Madras;India;"Jet Airways"
Cochin;Kochi;India;"Seeb Intl";Muscat;Oman;"Jet Airways"
"Zia Intl";Dhaka;Bangladesh;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Zia Intl";Dhaka;Bangladesh;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Dehradun;"Dehra Dun";India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Suvarnabhumi Intl";Bangkok;Thailand;"Jet Airways"
"Indira Gandhi Intl";Delhi;India;Bangalore;Bangalore;India;"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Brussels Natl";Brussels;Belgium;"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Doha Intl";Doha;Qatar;"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Dubai Intl";Dubai;"United Arab Emirates";"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Hong Kong Intl";"Hong Kong";"Hong Kong";"Jet Airways"
"Indira Gandhi Intl";Delhi;India;Hyderabad;Hyderabad;India;"Jet Airways"
"Indira Gandhi Intl";Delhi;India;Heathrow;London;"United Kingdom";"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Chennai Intl";Madras;India;"Jet Airways"
"Indira Gandhi Intl";Delhi;India;"Changi Intl";Singapore;Singapore;"Jet Airways"
"King Fahd Intl";Dammam;"Saudi Arabia";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"King Fahd Intl";Dammam;"Saudi Arabia";"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Doha Intl";Doha;Qatar;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Doha Intl";Doha;Qatar;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Dubai Intl";Dubai;"United Arab Emirates";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Dubai Intl";Dubai;"United Arab Emirates";"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Newark Liberty Intl";Newark;"United States";"Brussels Natl";Brussels;Belgium;"Jet Airways"
"Lokpriya Gopinath Bordoloi International Airport";Guwahati;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Goa;Goa;India;Bangalore;Bangalore;India;"Jet Airways"
Goa;Goa;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Goa;Goa;India;"Chennai Intl";Madras;India;"Jet Airways"
"Gorakhpur Airport";Gorakhpur;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Hong Kong Intl";"Hong Kong";"Hong Kong";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Hong Kong Intl";"Hong Kong";"Hong Kong";"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Hyderabad;Hyderabad;India;"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Jet Airways"
Hyderabad;Hyderabad;India;Bangalore;Bangalore;India;"Jet Airways"
Hyderabad;Hyderabad;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Hyderabad;Hyderabad;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Hyderabad;Hyderabad;India;"Chennai Intl";Madras;India;"Jet Airways"
"Devi Ahilyabai Holkar";Indore;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Devi Ahilyabai Holkar";Indore;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Bagdogra;Baghdogra;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Chandigarh;Chandigarh;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Chandigarh;Chandigarh;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Mangalore;Mangalore;India;Bangalore;Bangalore;India;"Jet Airways"
Mangalore;Mangalore;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Mangalore;Mangalore;India;"Dubai Intl";Dubai;"United Arab Emirates";"Jet Airways"
Leh;Leh;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Madurai;Madurai;India;"Chennai Intl";Madras;India;"Jet Airways"
"Birsa Munda";Ranchi;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Aurangabad;Aurangabad;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Port Blair";"Port Blair";India;"Chennai Intl";Madras;India;"Jet Airways"
Jaipur;Jaipur;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Jaipur;Jaipur;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Jodhpur;Jodhpur;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Jodhpur;Jodhpur;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"King Abdulaziz Intl";Jeddah;"Saudi Arabia";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Johannesburg Intl";Johannesburg;"South Africa";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Tribhuvan Intl";Kathmandu;Nepal;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Tribhuvan Intl";Kathmandu;Nepal;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Kuala Lumpur Intl";"Kuala Lumpur";Malaysia;Bangalore;Bangalore;India;"Jet Airways"
"Kuala Lumpur Intl";"Kuala Lumpur";Malaysia;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Kuala Lumpur Intl";"Kuala Lumpur";Malaysia;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Kuala Lumpur Intl";"Kuala Lumpur";Malaysia;Hyderabad;Hyderabad;India;"Jet Airways"
"Kuala Lumpur Intl";"Kuala Lumpur";Malaysia;"Chennai Intl";Madras;India;"Jet Airways"
"Kuwait Intl";Kuwait;Kuwait;"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Jet Airways"
"Kuwait Intl";Kuwait;Kuwait;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Heathrow;London;"United Kingdom";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Heathrow;London;"United Kingdom";"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Lucknow;Lucknow;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Lucknow;Lucknow;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Chennai Intl";Madras;India;"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Jet Airways"
"Chennai Intl";Madras;India;Bangalore;Bangalore;India;"Jet Airways"
"Chennai Intl";Madras;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Chennai Intl";Madras;India;"Bandaranaike Intl Colombo";Colombo;"Sri Lanka";"Jet Airways"
"Chennai Intl";Madras;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Chennai Intl";Madras;India;Hyderabad;Hyderabad;India;"Jet Airways"
"Chennai Intl";Madras;India;"Changi Intl";Singapore;Singapore;"Jet Airways"
"Seeb Intl";Muscat;Oman;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Dr Ambedkar Intl";Nagpur;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Jomo Kenyatta International";Nairobi;Kenya;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Narita Intl";Tokyo;Japan;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Patna;Patina;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Porbandar;Porbandar;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Pune;Pune;India;Bangalore;Bangalore;India;"Jet Airways"
Pune;Pune;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Pune;Pune;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Pune;Pune;India;Hyderabad;Hyderabad;India;"Jet Airways"
Pune;Pune;India;"Chennai Intl";Madras;India;"Jet Airways"
Rajkot;Rajkot;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Rajahmundry;Rajahmundry;India;Hyderabad;Hyderabad;India;"Jet Airways"
Raipur;Raipur;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Raipur;Raipur;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Raipur;Raipur;India;Hyderabad;Hyderabad;India;"Jet Airways"
"King Khaled Intl";Riyadh;"Saudi Arabia";"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Changi Intl";Singapore;Singapore;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Changi Intl";Singapore;Singapore;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
"Changi Intl";Singapore;Singapore;"Chennai Intl";Madras;India;"Jet Airways"
Srinagar;Srinagar;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Tirupati;Tirupeti;India;Hyderabad;Hyderabad;India;"Jet Airways"
"Thiruvananthapuram Intl";Trivandrum;India;"Abu Dhabi Intl";"Abu Dhabi";"United Arab Emirates";"Jet Airways"
"Thiruvananthapuram Intl";Trivandrum;India;Bangalore;Bangalore;India;"Jet Airways"
"Thiruvananthapuram Intl";Trivandrum;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
"Thiruvananthapuram Intl";Trivandrum;India;"Seeb Intl";Muscat;Oman;"Jet Airways"
Trichy;Tiruchirappalli;India;"Chennai Intl";Madras;India;"Jet Airways"
Udaipur;Udaipur;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Udaipur;Udaipur;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Vijayawada;Vijayawada;India;Hyderabad;Hyderabad;India;"Jet Airways"
Varanasi;Varanasi;India;"Indira Gandhi Intl";Delhi;India;"Jet Airways"
Vishakhapatnam;Vishakhapatnam;India;Bangalore;Bangalore;India;"Jet Airways"
Vishakhapatnam;Vishakhapatnam;India;"Chhatrapati Shivaji Intl";Mumbai;India;"Jet Airways"
Vishakhapatnam;Vishakhapatnam;India;"Chennai Intl";Madras;India;"Jet Airways"
"Lester B Pearson Intl";Toronto;Canada;"Brussels Natl";Brussels;Belgium;"Jet Airways"
Tbilisi;Tbilisi;Georgia;Dusseldorf;Duesseldorf;Germany;"Air Kazakhstan"
Tbilisi;Tbilisi;Georgia;"Dubai Intl";Dubai;"United Arab Emirates";"Air Kazakhstan"
"Ioannis Kapodistrias Intl";Kerkyra/corfu;Greece;Makedonia;Thessaloniki;Greece;"Cielos Airlines"
Chios;Chios;Greece;Makedonia;Thessaloniki;Greece;"Cielos Airlines"
Kalamata;Kalamata;Greece;Makedonia;Thessaloniki;Greece;"Cielos Airlines"
Samos;Samos;Greece;Makedonia;Thessaloniki;Greece;"Cielos Airlines"
Arlanda;Stockholm;Sweden;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Arlanda;Stockholm;Sweden;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Arlanda;Stockholm;Sweden;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Barcelona;Barcelona;Spain;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Brussels Natl";Brussels;Belgium;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Ferihegy;Budapest;Hungary;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Charles De Gaulle";Paris;France;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Kastrup;Copenhagen;Denmark;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Domododevo;Moscow;Russia;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Dusseldorf;Duesseldorf;Germany;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Fiumicino;Rome;Italy;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Frankfurt Main";Frankfurt;Germany;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Geneve Cointrin";Geneva;Switzerland;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Heydar Aliyev";Baku;Azerbaijan;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Helsinki Vantaa";Helsinki;Finland;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Zhuliany Intl";Kiev;Ukraine;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Ataturk;Istanbul;Turkey;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Larnaca;Larnaca;Cyprus;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Pulkovo;"St. Petersburg";Russia;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Heathrow;London;"United Kingdom";"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Saint Exupery";Lyon;France;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Barajas;Madrid;Spain;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Manchester;Manchester;"United Kingdom";"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Franz Josef Strauss";Munich;Germany;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Malpensa;Milano;Italy;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Gardermoen;Oslo;Norway;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Philadelphia Intl";Philadelphia;"United States";"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Ruzyne;Prague;"Czech Republic";"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Sofia;Sofia;Bulgaria;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Stansted;London;"United Kingdom";"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Tirana Rinas";Tirana;Albania;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Ben Gurion";Tel-aviv;Israel;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Tegel;Berlin;Germany;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;"Venezia Tessera";Venice;Italy;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Schwechat;Vienna;Austria;"Aegean Airlines"
"Eleftherios Venizelos Intl";Athens;Greece;Okecie;Warsaw;Poland;"Aegean Airlines"
Dimokritos;Alexandroupolis;Greece;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Dimokritos;Alexandroupolis;Greece;Domododevo;Moscow;Russia;"Aegean Airlines"
Dimokritos;Alexandroupolis;Greece;Pulkovo;"St. Petersburg";Russia;"Aegean Airlines"
Barcelona;Barcelona;Spain;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Beograd;Belgrade;Serbia;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Brussels Natl";Brussels;Belgium;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Ferihegy;Budapest;Hungary;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Charles De Gaulle";Paris;France;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Charles De Gaulle";Paris;France;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
"Ioannis Kapodistrias Intl";Kerkyra/corfu;Greece;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Ioannis Kapodistrias Intl";Kerkyra/corfu;Greece;"Brussels Natl";Brussels;Belgium;"Aegean Airlines"
"Ioannis Kapodistrias Intl";Kerkyra/corfu;Greece;Domododevo;Moscow;Russia;"Aegean Airlines"
"Ioannis Kapodistrias Intl";Kerkyra/corfu;Greece;Malpensa;Milano;Italy;"Aegean Airlines"
Souda;Chania;Greece;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Souda;Chania;Greece;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
Kastrup;Copenhagen;Denmark;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Kastrup;Copenhagen;Denmark;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
Domododevo;Moscow;Russia;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Domododevo;Moscow;Russia;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
Dusseldorf;Duesseldorf;Germany;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Dusseldorf;Duesseldorf;Germany;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
Fiumicino;Rome;Italy;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Frankfurt Main";Frankfurt;Germany;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Frankfurt Main";Frankfurt;Germany;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
"Geneve Cointrin";Geneva;Switzerland;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Heydar Aliyev";Baku;Azerbaijan;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
Hannover;Hannover;Germany;Makedonia;Thessaloniki;Greece;"Aegean Airlines"
"Helsinki Vantaa";Helsinki;Finland;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;"Eleftherios Venizelos Intl";Athens;Greece;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;"Brussels Natl";Brussels;Belgium;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;"Charles De Gaulle";Paris;France;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;Domododevo;Moscow;Russia;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;Dusseldorf;Duesseldorf;Germany;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;"Frankfurt Main";Frankfurt;Germany;"Aegean Airlines"
"Nikos Kazantzakis";Heraklion;Greece;Ataturk;Istanbul;Turkey;"Aegean Airlines"
